type,title,company,location,salary,experience,duration,skills,link,source
Internship,Full Stack Development,Maxgen Technologies Private Limited,Pune,"₹ 5,000 - 12,000 /month",Fresher,N/A,JavaHTMLCSSJavaScriptPythonMongoDBNode.js+1 more,https://internshala.com/internship/detail/full-stack-development-internship-in-pune-at-maxgen-technologies-private-limited1767320757,Internshala
Internship,Python Development,Maxgen Technologies Private Limited,Ahmedabad,"₹ 5,000 - 12,000 /month",Fresher,N/A,HTMLPythonDjangoMachine Learning,https://internshala.com/internship/detail/python-development-internship-in-ahmedabad-at-maxgen-technologies-private-limited1767289541,Internshala
Internship,Data Analytics,TwiLearn EduTech Private Limited,Work from home,"₹ 10,000 - 20,000 /month",Fresher,N/A,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-twilearn-edutech-private-limited1767245330,Internshala
Internship,Data Science,TwiLearn EduTech Private Limited,Work from home,"₹ 10,000 - 20,000 /month",Fresher,N/A,PythonSQLData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep Learning+1 more,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-twilearn-edutech-private-limited1767244229,Internshala
Internship,Business Analytics,TwiLearn EduTech Private Limited,Work from home,"₹ 10,000 - 15,000 /month",Fresher,N/A,MS-OfficePythonSQLData AnalyticsMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)+1 more,https://internshala.com/internship/detail/work-from-home-business-analytics-internship-at-twilearn-edutech-private-limited1767244171,Internshala
Internship,Artificial Intelligence (AI),TwiLearn EduTech Private Limited,Work from home,"₹ 10,000 - 20,000 /month",Fresher,N/A,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-twilearn-edutech-private-limited1767244110,Internshala
Internship,Python Development,TwiLearn EduTech Private Limited,Work from home,"₹ 10,000 - 20,000 /month",Fresher,N/A,HTMLCSSPythonDjangoMachine LearningREST API,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-twilearn-edutech-private-limited1767243995,Internshala
Internship,Beta Testing & Web Development,KMATS,Work from home,"₹ 5,000 /month",Fresher,N/A,JavaScriptPythonMongoDBNode.jsReactFlaskArtificial Intelligence Markup Language (AIML)+2 more,https://internshala.com/internship/detail/work-from-home-beta-testing-web-development-internship-at-kmats1767184573,Internshala
Internship,Software Development,Digital Heroes,Lucknow                                                                (Hybrid),"₹ 15,000 - 20,000 /month",Fresher,N/A,JavaMySQLHTMLCSSJavaScriptPythonAlgorithms+3 more,https://internshala.com/internship/detail/part-time-software-development-internship-in-lucknow-at-digital-heroes1767180592,Internshala
Internship,Junior Web Developer,Digital Heroes,Lucknow                                                                (Hybrid),"₹ 10,000 /month",Fresher,N/A,PHPHTMLCSSJavaScriptPythonNode.jsGitHub+1 more,https://internshala.com/internship/detail/part-time-junior-web-developer-internship-in-lucknow-at-digital-heroes1767179347,Internshala
Internship,Electronics Engineering,CCP IoT Technologies,Bangalore,"₹ 3,000 - 5,000 /month",Fresher,N/A,PythonARM MicrocontrollerRaspberry PiEmbedded SystemsArduinoCircuit DesignC Programming+3 more,https://internshala.com/internship/detail/electronics-engineering-internship-in-bangalore-at-ccp-iot-technologies1767161457,Internshala
Internship,Software Development,Traya Health,Bangalore,"₹ 30,000 /month",Fresher,N/A,PythonReactMERN,https://internshala.com/internship/detail/software-development-internship-in-bangalore-at-traya-health1767165811,Internshala
Internship,Python Development,ArtSpot,Work from home,"₹ 5,000 - 7,000 /month",Fresher,N/A,PythonDjangoBackend development,https://internshala.com/internship/detail/work-from-home-part-time-python-development-internship-at-artspot1767154926,Internshala
Internship,Embedded Systems,IG Drones,Ghaziabad,"₹ 10,000 - 15,000 /month",Fresher,N/A,PythonARM MicrocontrollerRaspberry PiEmbedded SystemsArduinoCircuit DesignC Programming+3 more,https://internshala.com/internship/detail/embedded-systems-internship-in-ghaziabad-at-ig-drones1767125454,Internshala
Internship,Artificial Intelligence (AI),Boltzmann Labs Private Limited,Hyderabad,"₹ 14,000 - 15,000 /month",Fresher,N/A,PythonChemistryBiologyMachine LearningDeep Learning,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-hyderabad-at-boltzmann-labs-private-limited1767122873,Internshala
Internship,Software Development Engineering (Web),RCS Projects Pvt Ltd,Work from home,"₹ 10,000 - 12,000 /month",Fresher,N/A,HTMLCSSJavaScriptPythonSQLDjangoMachine Learning+8 more,https://internshala.com/internship/detail/work-from-home-software-development-engineering-web-internship-at-rcs-projects-pvt-ltd1767107757,Internshala
Internship,Python Development,Learners Education Support Services,Kochi,"₹ 7,000 - 9,000 /month",Fresher,N/A,CSSPythonDjangoFlask,https://internshala.com/internship/detail/python-development-internship-in-kochi-at-learners-education-support-services1767089563,Internshala
Internship,Artificial Intelligence/Machine Learning,Aaans Services Private Limited,Work from home,"₹ 10,000 - 40,000 /month",Fresher,N/A,PythonData AnalyticsMachine LearningData ScienceFrontend developmentBackend developmentNatural Language Processing (NLP)+2 more,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-machine-learning-internship-at-aaans-services-private-limited1767007993,Internshala
Internship,ML Researcher,Yardstick,Work from home,"₹ 5,000 - 25,000 /month",Fresher,N/A,PythonAlgorithmsData StructuresMachine LearningEnglish Proficiency (Spoken)English Proficiency (Written)Deep Learning+1 more,https://internshala.com/internship/detail/work-from-home-ml-researcher-internship-at-yardstick1767007525,Internshala
Internship,Automation Engineer,Elvara Group,Work from home,"₹ 12,000 - 25,000 /month",Fresher,N/A,JavaHTMLCSSPythonBusiness AnalysisGitHubReact+6 more,https://internshala.com/internship/detail/work-from-home-part-time-automation-engineer-internship-at-elvara-group1767001599,Internshala
Internship,Producers Assistant/Founders Office,Continuum Media,Mumbai,"₹ 5,000 /month",Fresher,N/A,MS-OfficeContent WritingPythonAdobe IllustratorSQLAdobe Creative SuiteMachine Learning+7 more,https://internshala.com/internship/detail/producers-assistant-founders-office-internship-in-mumbai-at-continuum-media1766994229,Internshala
Internship,Machine Learning,Innoknowvex,Work from home,"₹ 11,000 - 23,000 /month",Fresher,N/A,PythonData AnalyticsMachine LearningR ProgrammingNatural Language Processing (NLP),https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-innoknowvex1766991668,Internshala
Internship,Human Resources (HR),Grozoom Ventures Technology Private Limited,Work from home,"₹ 6,000 - 7,000 /month",Fresher,N/A,JavaSocial Media MarketingJavaScriptPythonRecruitmentTime ManagementContent Marketing+2 more,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-grozoom-ventures-technology-private-limited1766989971,Internshala
Internship,Data Science,Accredian,Work from home,"₹ 10,000 - 15,000 /month",Fresher,N/A,PythonVideo EditingSQLMachine LearningVideo MakingR ProgrammingDeep Learning+1 more,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-accredian1766989393,Internshala
