name,ratings,reviews,type_locations,salaries,interviews,jobs,benefits
HCL Group,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations,40.3k,509,--,661
eClerx,3.1,(6k),IT Services & Consulting | Pune +32 other locations,31.5k,623,277,555
Virtusa Consulting Services,3.7,(5.9k),IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,56.5k,656,1.1k,318
Piramal Finance,4.2,(5.9k),NBFC | Mumbai +419 other locations,12.8k,286,2,445
DMart,3.9,(5.9k),Retail | Mumbai +246 other locations,18.1k,526,158,473
HSBC Group,3.9,(5.8k),Financial Services | Bangalore / Bengaluru +63 other locations,42.4k,540,141,1.1k
Udaan,3.9,(5.8k),Internet | Bangalore / Bengaluru +371 other locations,15.7k,367,1,755
Indiamart Intermesh,3.5,(5.8k),Internet | Noida +171 other locations,20.2k,736,443,432
SMFG India Credit,3.9,(5.7k),NBFC | Mumbai +590 other locations,10.5k,199,81,347
Aurobindo Pharma,4.0,(5.7k),Pharma | Hyderabad / Secunderabad +115 other locations,20.9k,285,20,468
CGI Group,4.0,(5.7k),IT Services & Consulting | Bangalore / Bengaluru +43 other locations,46.8k,558,710,398
BigBasket,3.9,(5.6k),Internet | Bangalore / Bengaluru +139 other locations,19k,460,95,380
Siemens,3.9,(5.6k),Industrial Automation | Bangalore / Bengaluru +153 other locations,33.5k,497,172,632
Manappuram Finance,3.9,(5.6k),NBFC | Bangalore / Bengaluru +645 other locations,9k,216,15,260
Access Healthcare,3.7,(5.6k),BPO | Chennai +63 other locations,28.2k,375,358,347
Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction | Mumbai +188 other locations,15.2k,410,67,632
Firstsource Solutions,3.5,(5.6k),BPO | Bangalore / Bengaluru +73 other locations,24.1k,353,172,570
GlobalLogic,3.5,(5.6k),IT Services & Consulting | Hyderabad / Secunderabad +60 other locations,40.4k,675,38,515
ICICI Lombard General Insurance Company,3.5,(5.6k),Insurance | Mumbai +311 other locations,20k,349,153,366
Tata Capital,4.0,(5.6k),NBFC | Mumbai +435 other locations,15.4k,260,3.4k,258
Standard Chartered,3.6,(5.6k),Banking | Chennai +68 other locations,42k,316,--,305
Mahindra Finance,3.9,(5.5k),NBFC | Mumbai +728 other locations,11.9k,206,439,507
Apollo Hospitals,4.1,(5.5k),Healthcare | Chennai +229 other locations,16.3k,461,183,506
Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +47 other locations,39.6k,381,7,625
PolicyBazaar,3.7,(5.5k),Internet | Gurgaon / Gurugram +149 other locations,16.9k,586,440,231
UST,3.7,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +50 other locations,39.1k,575,122,407
Ashok Leyland,4.0,(5.4k),Automobile | Chennai +254 other locations,18.6k,311,--,642
Citicorp,3.7,(5.4k),Financial Services | Pune +68 other locations,51.6k,614,--,517
Swiggy,3.7,(5.4k),Internet | Bangalore / Bengaluru +228 other locations,22.9k,547,260,343
Hero MotoCorp,4.1,(5.3k),Automobile | Gurgaon / Gurugram +364 other locations,15.7k,399,2,584
Cyient,3.6,(5.3k),IT Services & Consulting | Hyderabad / Secunderabad +48 other locations,27.4k,324,77,466
SBI Cards & Payment Services,3.7,(5.1k),Financial Services | Gurgaon / Gurugram +435 other locations,15.9k,294,79,344
Kalpataru Projects International,4.1,(5.1k),Engineering & Construction | Mumbai +320 other locations,13.7k,314,--,203
JustDial,3.5,(5.1k),Internet | Noida +228 other locations,15.3k,383,61,372
BNY,3.7,(5.1k),Financial Services | Pune +25 other locations,30.7k,387,1,527
IQVIA,3.7,(5k),Clinical Research | Bangalore / Bengaluru +62 other locations,30.6k,535,10,524
SBI Life Insurance Company,3.7,(5k),Insurance | Mumbai +652 other locations,11.7k,299,5,327
CBRE,4.1,(5k),Real Estate | Hyderabad / Secunderabad +91 other locations,18.5k,336,22,443
TVS Motor,3.9,(5k),Automobile | Hosur +349 other locations,15.7k,384,75,536
NTT Data,3.8,(5k),IT Services & Consulting | Bangalore / Bengaluru +79 other locations,35.6k,726,116,156
Nagarjuna Construction Company,4.0,(5k),Engineering & Construction | Hyderabad / Secunderabad +295 other locations,12k,419,7,408
Schneider Electric,4.1,(5k),Industrial Automation | Bangalore / Bengaluru +120 other locations,24.2k,443,25,463
Persistent Systems,3.6,(4.9k),IT Services & Consulting | Pune +42 other locations,44.2k,698,312,369
vivo,4.1,(4.9k),Consumer Electronics & Appliances | Noida +414 other locations,13.1k,229,5,643
State Bank of India,3.8,(4.9k),Banking | Mumbai +618 other locations,11.6k,301,8,400
Atos,3.8,(4.8k),IT Services & Consulting | Pune +49 other locations,34k,403,103,454
Ecom Express,4.0,(4.8k),Logistics | Gurgaon / Gurugram +775 other locations,9.4k,257,--,323
Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations,28.1k,316,7,1
KEC International,4.0,(4.8k),Engineering & Construction | Mumbai +312 other locations,13.3k,404,4,441
Amdocs,3.6,(4.7k),Software Product | Pune +23 other locations,37.3k,558,9,614
Nagarro,3.9,(4.7k),IT Services & Consulting | Gurgaon / Gurugram +49 other locations,31.8k,826,361,1.1k
JBM Group,3.9,(4.7k),Auto Components | Gurgaon / Gurugram +116 other locations,13.9k,335,47,342
Varun Beverages,4.0,(4.7k),Beverage | New Delhi +379 other locations,12.2k,330,35,321
ITC Infotech,3.7,(4.6k),IT Services & Consulting | Bangalore / Bengaluru +67 other locations,29.4k,407,79,281
Home Credit Finance,4.0,(4.6k),NBFC | Gurgaon / Gurugram +136 other locations,9.4k,142,92,629
Bosch,4.1,(4.6k),Auto Components | Bangalore / Bengaluru +129 other locations,20.6k,370,232,599
EY Global Delivery Services ( EY GDS),3.5,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +56 other locations,48.1k,871,10,146
Hewlett Packard Enterprise,4.1,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +103 other locations,27.1k,265,157,546
Mahindra Logistics,3.7,(4.5k),Logistics | Mumbai +233 other locations,13k,246,--,445
L&T Finance,3.9,(4.5k),NBFC | Mumbai +628 other locations,11.6k,209,--,260
Aditya Birla Fashion and Retail,4.1,(4.5k),Fashion & Textile | Bangalore / Bengaluru +290 other locations,13k,259,76,391
Utkarsh Small Finance Bank,3.6,(4.5k),Banking | Varanasi +406 other locations,10.8k,288,24,269
OPPO,3.9,(4.5k),Consumer Electronics & Appliances | Greater Noida +409 other locations,11.8k,248,8,602
Randstad,3.7,(4.5k),Recruitment | Hyderabad / Secunderabad +350 other locations,16.2k,314,8,331
Dell,3.8,(4.4k),Consumer Electronics & Appliances | Bangalore / Bengaluru +117 other locations,28.6k,421,98,540
CARS24,3.4,(4.4k),Internet | Gurgaon / Gurugram +173 other locations,15.3k,402,135,410
Havells,3.9,(4.4k),Electrical Equipment | Noida +258 other locations,15.4k,278,29,315
R1 RCM,3.8,(4.4k),BPO | New Delhi +47 other locations,21.1k,352,131,334
Intas Pharmaceuticals,4.1,(4.4k),Pharma | Ahmedabad +148 other locations,17.1k,251,49,362
Tata AIA Life Insurance,3.9,(4.4k),Insurance | Mumbai +440 other locations,13.8k,246,652,297
Hyundai Motor India Limited,4.1,(4.4k),Automobile | Chennai +287 other locations,13.7k,313,3,518
Deutsche Bank,3.8,(4.3k),Banking | Pune +42 other locations,35.8k,415,278,399
Hetero,3.9,(4.3k),Pharma | Hyderabad / Secunderabad +67 other locations,15.1k,290,153,332
Motilal Oswal Financial Services,3.7,(4.3k),Financial Services | Mumbai +168 other locations,13k,536,54,167
Team Lease,3.9,(4.2k),Recruitment | Bangalore / Bengaluru +394 other locations,15.9k,241,--,215
Berger Paints,3.7,(4.2k),Chemicals | Kolkata +353 other locations,10.1k,399,151,273
Lenskart,3.3,(4.2k),Internet | New Delhi +239 other locations,13.1k,425,119,199
Thermax Limited,4.2,(4.1k),Industrial Machinery | Pune +247 other locations,13.1k,321,86,371
Bajaj Auto,3.8,(4.1k),Automobile | Pune +317 other locations,14.5k,317,--,496
Macleods Pharmaceuticals,3.7,(4.1k),Pharma | Mumbai +131 other locations,15.6k,258,9,333
Aakash Educational Services,3.2,(4.1k),Education & Training | New Delhi +243 other locations,13.6k,361,79,212
Kogta Financial India Limited,4.7,(4.1k),NBFC | Jaipur +259 other locations,1.8k,222,126,31
Jubilant Foods Works,3.7,(4.1k),Hospitality | New Delhi +261 other locations,9.2k,243,186,180
LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances | Pune +297 other locations,10.9k,253,--,399
VE Commercial Vehicles,3.9,(4k),Automobile | Indore +157 other locations,13.4k,274,6,340
Royal Enfield,4.2,(4k),Automobile | Chennai +375 other locations,14.7k,194,19,396
Jindal Steel Limited,3.9,(4k),Iron & Steel | Angul +172 other locations,15.5k,403,38,328
Hindalco Industries,4.2,(4k),Metals & Mining | Sambalpur +127 other locations,12.3k,284,8,329
John Deere,4.0,(4k),Industrial Machinery | Pune +156 other locations,15.2k,264,1,417
Tata Communications,3.9,(4k),Telecom | Pune +102 other locations,23.5k,296,37,426
DCB Bank,3.8,(4k),Banking | Mumbai +339 other locations,9.5k,222,14,248
HDFC Ergo General Insurance,3.9,(4k),Insurance | Mumbai +321 other locations,12k,190,14,273
State Street Corporation,3.5,(3.9k),Financial Services | Bangalore / Bengaluru +34 other locations,31.1k,281,8,261
RBL Bank,3.5,(3.9k),Banking | Mumbai +285 other locations,18.2k,229,52,221
Cummins,4.3,(3.9k),Industrial Machinery | Pune +113 other locations,15.5k,274,9,458
Oyo Rooms,3.1,(3.9k),Internet | Gurgaon / Gurugram +120 other locations,14.5k,252,124,389
Pidilite Industries,4.2,(3.8k),Chemicals | Mumbai +311 other locations,11.4k,251,--,359
Alembic Pharmaceuticals,3.9,(3.8k),Pharma | Vadodara +187 other locations,15.2k,248,47,378
Reliance Communications,4.0,(3.8k),Telecom | Mumbai +465 other locations,9.6k,103,--,375
Bank of America,4.1,(3.8k),Banking | Gurgaon / Gurugram +35 other locations,28k,284,--,413
Carelon Global Solutions,3.9,(3.8k),IT Services & Consulting | Bangalore / Bengaluru +21 other locations,26.6k,406,24,7
Publicis Sapient,3.4,(3.8k),IT Services & Consulting | Bangalore / Bengaluru +48 other locations,30.9k,682,257,391
Subros,3.8,(3.8k),Auto Components | Noida +87 other locations,12.5k,214,1,379
PVR INOX,3.9,(3.8k),Media & Entertainment | New Delhi +150 other locations,9.4k,207,19,241
XpressBees,4.2,(3.8k),Logistics | Pune +473 other locations,8k,437,11,176
American Express,4.1,(3.8k),Financial Services | Gurgaon / Gurugram +53 other locations,24.6k,418,90,435
Viatris,4.1,(3.7k),Pharma | Hyderabad / Secunderabad +81 other locations,14.2k,163,1,500
Automatic Data Processing (ADP),3.9,(3.7k),Software Product | Hyderabad / Secunderabad +40 other locations,22k,288,59,457
Kyndryl,3.9,(3.7k),IT Services & Consulting | Bangalore / Bengaluru +37 other locations,25.9k,221,25,163
PNB MetLife,3.4,(3.7k),Insurance | New Delhi +422 other locations,7.9k,189,13,215
Escorts Kubota Limited,4.1,(3.7k),Automobile | Faridabad +154 other locations,13.2k,280,2,255
Aditya Birla Sun Life Insurance,4.0,(3.7k),Insurance | Mumbai +489 other locations,10k,173,--,214
Grasim Industries,4.0,(3.7k),Building Material | Bharuch +239 other locations,12.8k,269,2,267
Sodexo,4.0,(3.6k),Facility Management Services | Mumbai +156 other locations,10k,192,888,361
Maersk,4.0,(3.7k),Logistics | Chennai +49 other locations,18.9k,244,27,420
